CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
~–kaghqaq	-rf5rf2	something to be used as N		angyaqaghqaq’ something to use as a boat’ (from angyaq ‘boat’); atkukaghqaq ‘something to use as a parka’ (from atkuk ‘parka’); naakaghqaq ‘stepmother’ (from naa ‘mother’); atakaghqaq ‘stepfather’ (from ata ‘father’); nekaghqaq ‘building site’ (from nae ‘home, place’)	future N												something to be used as N; future N		pb PE k9a3				~–kaghqaq	kaghqaq	kaghqaq	-каҳкақ
-kaghtagh-				see ~–qaghtagh-													to continuously V with back and forth or up and down movement						~–qaghtagh-	kaghtagh	kaghtagh	
+kaghtaq	-rf5nf2	one from N		used with demonstrative adverb bases; akmakaghtaq ‘one from way across there’ (from akma- ‘way across there’); = +keghtaq													one from N						+kaghtaq	kaghtaq	kaghtaq	-каҳтақ
~–kaghte-	-rf5ns-	get N		used with nouns expressing quantity of game, money, etc.; quulkaghtuq ‘he caught ten’ (from qulae ‘ten’); ‘qafsinkaghta?’ how many did he get? (from qafsinae ‘how many’)	catch N (game)												to get N; to catch N						~–kaghte-	kaghte	kaghte	-каҳты-
~–kanigh-	-rfyb4-	rather (be ~ V)		ighlekanightuq ‘he is rather stingy’ (from ighleg- ‘to be stingy’); piniqanightuq ‘he is rather nice’ (from pinigh- ‘to be nice’); Tawavek tekeghaghllagmun itghutkanighii ukum tungangakun. ‘It [the current] drew them in more and more to the large promontory, in its direction.’ (from itghute- ‘to bring (it) in’) (SIVUQ. NANGAGH. 2:122)	fairly (be ~ V)	more and more (V ~)											to be rather V; to be fairly V; to V more and more		pb PE kkanni3-				~–kanigh-	kanigh	kanigh	-каниӷ-
+kaq	-rf2	raw material for N or for V-ing		atkugkaq ‘parka material’ (from atkuk ‘parka’); angyaghqaq ‘boat material’ (from angyaq ‘boat’); inghukaq ‘berry to be picked’ (from inghu- ‘to pick berries’)													raw material for N or for V-ing; something to be V-ed		pb PE k9a3				+kaq	kaq	kaq	-кақ
-kaq				see ~–(g)kaq													one that has V-ed; one that has been V-ed						~–(g)kaq	kaq	kaq	
-kaqe-				see @~–(g)kaqe-													to have V-ed (him/it)						@~–(g)kaqe-	kaqe	kaqe	
-kaqsagh-				see ~–(g)kaqsagh-													to have V-ed fruitlessly; to have V-ed in vain; to have V-ed but. . . .						~–(g)kaqsagh-	kaqsagh	kaqsagh	
-kaqu-				see –qaqu-													to V intermittently						–qaqu-	kaqu	kaqu	
~–kataghagh-	-rfnf4f4-	finally V despite a feeling that it wouldn't happen		atuqataghaghaa ‘he finally used it’ (from atugh- ‘to use’); aalkataghaghaa ‘he finally swept it’ (from alleg- ‘to sweep’);  kakikataghaghtuq ‘she finally sewed’ (from kaki- ‘to sew’)	at last (V ~)												to finally V despite a feeling that it wouldn't happen; to V at last		pb PE k(k)atta3- and q(q)atta3-				~–kataghagh-	kataghagh	kataghagh	-катаӷаӷ-
-kaayagh-				see ~–(g)kaayagh-													to have V-ed fruitlessly; to have V-ed in vain; to have V-ed but. . . .						~–(g)kaayagh-	kayagh	kxyagh	
-kayuk				see ~–(g)kayuk													one that V-s readily; one who is able to V						~–(g)kayuk	kayak	kayak	
-kayugu-				see ~–(g)kayugu-													to be able to V; can V						~–(g)kayugu-	kayugu	kayugu	
-kayugughte-				see ~–(g)kayugughte-													to become able to V						~–(g)kayugughte-	kayugughte-	kayugughte-	
~–ke-1	-rs-¡	have as one’s N		naakaat ‘she is their mother’ (literally, ‘they have her as their mother’) (from naa ‘mother’); tuumkii ‘they are his prints’ (from tumae ‘footprint’); angyaqaqa ‘it is my boat’ (from angyaq ‘boat’); kaamkagka ‘they2 are my skin-boots’ (from kamek ‘skin-boot’); inglukaa ‘he is her partner or equal’ (from inglu ‘partner; other of pair; spouse; complementery side’); Ungazim mekelngiiqiinkung ‘we2 are Chaplino(‘s) boys’; may be used with intransitive ending to mean ‘to have --(s)’: meghmeng imaquq ‘it contains water (has water as its contents)’ (from imaq ‘content’); Kiyaghsimaluku yuuk tagimalghii tagneqegtameng atkukelghii. 'While she was living (thus), a man came having a parka, a black one.' (from atkuk ‘parka’) (UNGIPAGHAGH. 24); Yuget ngelqaghmeng, alpameng kiyang atkukaqut. 'Men mostly have parkas of cormorant and murre.' (from atkuk ‘parka’) (SIVUQ. NANGAGH. 1:106); Qallukaat kaamget estullugmeng aatqut. 'Reinder-leg boots have the name “estulluk”.' (from ateq ‘name’) (SIVUQ. NANGAGH. 1:114); Iwerngaqun iquklighpigaat tazinga, umiilgem aallgha aghnaghaperewaaghmeng panikelghii. 'Finally, he had only that very last (boat) to go with, the one which belonged to the poor chief; he had daughters only.' (from panik ‘daughter’) (SIVUQ. NANGAGH. 3:218); Taagken apalluqluteng allanguut iqallugneng. ‘Having that as a reason they are different from fish.’ (AANGHHAQ 64)	have N												have as one’s N; object is subject’s N; have N		pb PE k0(-)1		sentence example with Ungaziq’s boys is from Linda Badten		~–ke-1	ke1	ke1	-кы-1
~–ke-2	-rs-™	feel V toward		used with emotional roots and certain other bases generally dealing with emotions; algumakaa ‘he is envious of of her’ (from alguma- ‘to be envious’); siknakaa ‘he is possessive of or stingy with it’ (from emotional root sikna- ‘possessive’); kelengakaa ‘he is watching it warily’ (from kelnga- ‘to be wary’); yimikaa ‘he feels shy toward, inhibited or intimidated by him’ (from emotional root yimi- ‘shy, inhibited, intimidated’)	toward (V toward)												to feel V toward; to V toward		pb PE k0(-)1 (?)				~–ke-2	ke2	ke2	-кы-2
+keghtaq	-rs5nf2	one from N		used with demonstrative adverb bases; akmakeghtaq ‘one from way across there’ (from akma- ‘way across there’); = +kaghtaq													one from N						+keghtaq	keghtaq	keghtaq	-кыҳтақ
~–kegtaq	-rs[nf2	good (one with ~ N)		ugikegtaq ‘one with a good husband’ (from ugi ‘husband’); angyaqegtaq ‘one with a good boat’ (from angyaq boat’); qikmiqegtaq ‘one with a good dog’ (from qikmiq dog’); kaamkegtaq ‘one with nice skin-boots’ (from kamek ‘skin-boot’)													one with good N		pb PY k0xtaq				~–kegtaq	kegtaq	kegtaq	-кыхтақ
~–kegte-	-rs[ns-	good (have ~ N)		cingikegtuq ‘it has a sharp point’ (from cingik ‘point, tip’); iiskegtuq ‘he has good eyes, good eyesight’ (from iyae ‘eye’); angyaqegtuq ‘he has a good boat’ (from angyaq ‘boat’); yuukegtuq ‘he is handsome’, yukegtuq ‘he is a good crewman’ (the last two both lexicalized, from yu<u>k ‘person’)													to have good N		pb PE ki!-				~–kegte-	kegte	kegte	-кыхты-
~–kenghhaq*	-rsy5f2	newly made or newly acquired N		ugikenghhaa ‘her new husband’ (from ugi ‘husband’); atkukenghhaq ‘newly made parka’ (from atkuk ‘parka’); angyaqenghhaq ‘new boat’ (from angyaq ‘boat’)													newly made or newly acquired N		< ?-nghhaq				~–kenghhaq*	kenghhaq	kenghhaq	-кынҳақ
?(ke)staaghhaa-	-ørsπcn656-	lack the quality of V		postbase ?(ke)staaghhaa-; used mainly with dimensional roots; non-productive; many forms lexicalized; examples: iqekestaaghhaaguq ‘it isn't wide, it is narrow’ (from root iqe- ‘width’); amelkestaaghhaguq ‘it is narrow’ (from root amel- ‘breadth’); aghqestaaghhaaguq ‘it is shallow’ (from root aghqe- ‘shallowness’); mekestaaghhaaguq ‘it is small’ (from root meke- ‘smallness’); underlyingly the final aa- is -au- and labializes the following consonant if possible:  takestaaghhaawa? ‘is it short?’ (from root take- ‘length’); Alla salngak uglaghllak aangaqluteng mekestaaghhaawaqluteng tamaa. ‘Also they were many, large and small.’ (from root meke- ‘smallness’) (SULUWET 1); Aaskestaaghhaanghani kiyang malghugneghet piiqiit, … ‘When it [the ice] did not extend out too far, they would open two boat paths, …’ (from root aas- ‘width’ as in aastu- ‘to be wider, extend out farther’ ) (SIVUQ. NANGAGH. 1:134)	have the quality of N	quality (lack, or have, the quality of N)											to lack the quality of V; to have the quality of N				< -(ke)staaghhaq-(ng)u-		?(ke)staaghhaa-	kestaghha	kestxghha	-(кы)стāҳā-
?(ke)staaghhaq*	-ørsπcn65f2	one that lacks the quality of N		used mainly with dimensional roots; non-productive; many forms lexicalized; iqekestaaghhaq ‘narrow thing’ (from root iqe- ‘width’); mekestaaghhaq ‘small thing’ (from root meke- ‘smallness’); takestaaghhaq ‘short thing’ (from root take- ‘length’); aghqestaaghhaq ‘shallow thing’ (from root aghqe- ‘shallowness’); amelkestaaghaq,  (from root amel- ‘narrow’); qagughqestaaghhaq ‘one with a small forehead’ (from qaguq ‘forehead’); = -(ke)staaq	one that has the quality of N	quality of N (the ~ of N)											one that lacks the quality of N; one that has the quality of N						?(ke)staaghhaq*	kestaghhaq	kestxghhaq	-(кы)стāҳақ
?(ke)staaq	-ørsπcn62	one that lacks the quality of N		used mainly with dimensional roots; non-productive; many forms lexicalized; iqekestaaq ‘narrow thing’ (from root iqe- ‘width’); mekestaaq ‘small thing’ (from root meke- ‘smallness’); takestaaq ‘short thing’ (from root take- ‘length’); aghqestaaq ‘shallow thing’ (from root aghqe- ‘shallowness’); amelkestaaq (from root amel- ‘narrow’); = -(ke)staaghhaq	one that has the quality of N	quality of N (the ~ of N)											one that lacks the quality of N; one that has the quality of N						?(ke)staaq	kestaq	kestxq	-(кы)стāқ
~–ketagh-	-rsnf4-	tend to V by one’s disposition		used with emotional roots and certain other bases; talluqetaghtuq ‘he is shy by nature, easily intimidated’ (from emotional root tallugh- ‘shy, intimidated’); yimiketaghtuq ‘he is shy by nature, easily intimidated’ (from emotional root yimi- ‘shy, intimidated’); kaynguketaghtuq ‘he tends to be embarrassed’ (from emotional root kayngu- ‘embarrassed’); efleqetaghtuq ‘he tends to feel uncomfortable with stuff on skin or with other people too close, is inhospitable’ (from emotional root eflegh- ‘to feel uncomfortable’); qaazuqetaghtuq ‘he tends to feel alienated, out of sorts’ (from emotional root qaazugh- ‘alienated, depressed, out of sorts’); alingketaghtuq ‘he is easily scared’ (from alinge- ‘to be afraid’); kakafketaghtuq ‘he panics easily’ (from kakave- ‘to panic’)													to tend to V by one’s disposition		< ?-tagh-3; pb PE k(k)0ta3-				~–ketagh-	ketagh	ketagh	-кытаӷ-
-kiinagh-	-27yf4-			see ~–qiinagh-													to just V; to only V; to V just now						~–qiinagh-	kinagh	kxnagh	-қӣнаӷ-
-kinghaq				see –qinghaq													thing of N						–qinghaq	kinghaq	kinghaq	
-kliq*				see -qliq*													thing that is far to the N						–qliq*	kliq	kliq	
-kragh-				see –qragh-													to do fancy V-ing; to V a new thing						–qragh-	kragh	kragh	
–krak	-rhfr	small N		kemekrak ‘piece of meat’ (from kemek ‘meat, flesh, skin on one’s body’); aghveqrak ‘small spring whale’ (from aghveq ‘whale’); tagneqrak ‘mole, dot, freckle’ (lexicalized, from tagneq ‘darkness’); neqekrak ‘bread, especially pilot bread’ (lexicalized from neqae ‘food’)	like (thing ~ N)												small N; thing like N		pb PY k5ak				–krak	krak	krak	-крак
-kraq				see –qraq													fancy piece of of N						–qraq	kraq	kraq	
-krug-				see –qrug-													for troublesome one to V						–qrug-	krug	krug	
-kruk				see –qruk													good old N; bad old N (paradoxically); troublesome N						–qruk	kruk	kruk	
–ksagute-	-rczuens-	acquire as one's N		piksagutaa ‘he acquired it as his, came to have it’ (from pi ‘thing’); yuksagutaa ‘he took him as a crewman’ (from yuk ‘person, crewman’)													to acquire as one's N    		pb PY kya!ut0-				–ksagute-	ksagute	ksagute	-ксягуты-
-kumtaaq				see ~–qumtaaq													frequently V-ed thing; usually V-ed thing; commonly V-ed thing						~–qumtaaq	kumtaq	kumtxq	
–kun	-rey	next (in the ~ N time)		used with time words; yields adverbial particles; aghnequn ‘this afternoon, later today’ (from aghneq ‘day’); ighivgaqun ‘this evening’ (from ighivgaq ‘evening’); kiikun ‘this coming summer’ (from kiik ‘summer’); uksuqun ‘this coming winter’ (from uksuq ‘winter’); uksaaqun ‘this coming fall’ (from uksaaq ‘fall’); upenghaqun ‘this coming spring’ (from upenghaq ‘spring’); unukun ‘tonight’ (from unuk ‘night’); whanikun ‘later on’ (from whani ‘now’); qakun ‘when ? (in the future)’ (from interrogative root qa-); also aawhkaqun ‘in the springtime’ (from an unidentified base, perhaps as in awa(ni) ‘over there’ (note aawhken ‘from over there’))	future (in the ~ N time)	coming (in the ~ N time)											in the next N time; in the future N time; in the coming N time		< vialis case				–kun	kun	kun	-кун
–kusiigh-	-rec74-	casually V		tagikusiightuq ‘he's coming, taking his time’ (from tagi- ‘to come’); agluqusiightuq ‘he is slowly returning home, slowly going home’ (from aglagh- ‘to go home’)	slowly V												to casually V; to slowly V						–kusiigh-	kusigh	kusxgh	-кусӣӷ-
-kutaq				see ?qutaq													device associated with N or with V-ing						?qutaq	kutaq	kutaq	
–kuvinghaq	-redby4f2	remains of N		Chukotkan; tunuquvinghaq ‘tallow’ (from tunuq ‘fat of caribou or reindeer’)									more examples needed, and is it only Siberian?				remains of N		pb PE vin03				–kuvinghaq	kuvinghaq	kuvinghaq	-кувинӷақ
?kwaaq	-r162	leftover N		neqekwaaq ‘leftover food’ (from neqae ‘food’); uquqwaaq or uqughqwaaq ‘leftover oil’ (from uquq ‘oil’); kufilleghqwaaq ‘coffee dregs definitely of no use’ (from kufilleq ‘coffee dregs’); kemekragkwaaq ‘leftover meat’ (from kemekrak ‘meat’)													leftover N		pb PE k(k)u3 and k(k)u(C)a3				?kwaaq	kwaq	kwxq	-кӱāқ
-kwaaqun				see –qwaaqun													a little later in the N						–qwaaqun	kwaqun	kwxqun	
																	L							l	l	
~f–laghate-	-kz4fns-	already (have ~ V-ed together)		itelaghatut ‘they came in together, as a group’ (from itegh- ‘to come in’); aanlaghatut ‘they went out together’ (from aane- ‘to go out’); tagilaghatut ‘they all came’ (from tagi- ‘to come’); Entaqun apeghiighluteng esgha taam kingunganeng mulugpenateng, qavameggnenguq tuqulaghatkaagut. 'I think it was not long afterwards that they had all died in their sleep.' (from tuqu- ‘to die’) (SIVUQ. NANGAGH. 3:88); Aghnaghaghhaq nayaggiinaat unegtuq, anengii iflalaghatut qamaghlluteng. ‘The little girl, their sister, only she, was left, as her brothers all were lost, all of them.’ (from ifla- ‘to get lost’) (UNGAZ. UNGIP. 11); apparently not used with bases ending in te	together (have already V-ed ~)	group (V as a ~)											to have already V-ed together; to V as a group						~f–laghate-	laghate	laghate	-ляӷаты-
@+laaghigate-	-k94bufns-	seldom V		Iteghyalghiimi apangita iiyngit qavaghlaaghigallghem iqaghtiighluteng. ‘When he came in their grandfather’s eyes were rubbed raw from inadequate sleep.’ (from qavagh- ‘to sleep’) (AKIINGQWAGH. 99); Ungaziq kaallaaghigataat angyaghpagkun piyaaghutemneng. ‘They seldom came in to Chaplino by ship when I first started [going there].’ (from kaate- ‘to arrive’) (SIVUQ. NANGAGH. 3:128)	infrequently V	enough (not V ~)							examples needed	inadequately V			to seldom V; to infrequently V; to not V enough; inadequately V		< -?-(ng)igate-				@+laaghigate-	laghigate	lxghigate	-ля̄ӷигаты-
–laaq	-k92	insignificant N		non-productive (?); yulaaq ‘person of low social status’ (from yu<u>k ‘person’)									need other examples				insignificant N		pb PE la(C)a3(-)				–laaq	laq	lxq	-ля̄қ
@~f+laatagh-	-kznf4-	again V		angyaghlaataghtuq ‘he went out in a boat again’ (from angyagh- ‘to go out in a boat’); tel from this postbase becomes ll: guullaataghaa ‘he shot it again’ (from guute- ‘to shoot’); Taagken igleghsimalghii aghnelqusiq. Unugyagu aghuliighumalghii. Aghuliighluni angyaatamineng neghumalghii. Neneghmeng taaqluni qavaamalghii. Unaami taghtughluni igleghllaataghtuq aghnelqusiq. 'Then he traveled all day. When night fell he stopped. After stopping he ate his food for the journey. When he finished eating he slept. In the morning after waking up he traveled again all day.' (from igleghte- 'to travel') (UNGAZ. UNGIP. 15)	more (V ~)												to V again; to V more; to V anyway					> -naqlaatagh-	@~f+laatagh-	latagh	lxtagh	-лятаӷ-
+laataqu-	-k9nf2e-	luckily have V-ed well		qavaghlaataquuq ‘luckily he slept well’ (from qavagh- ‘to sleep’); neghlaataquuq ‘luckily he ate well’ (from negh<e>- ‘to eat’); kaallaataquuq ‘he arrived in time (to avoid danger or take advantage of an opportunity)’ (from kaate- ‘to arrive’); pilaataquuq ‘he achieved success’ (from pi- ‘to do’)	well (luckily have V-ed ~)												to luckily have V-ed well						+laataqu-	lataqu	lxtaqu	-ля̄тақу-
@~f+leghagh-	-ks4f4-	slowly and continously V		non-productive (?); aanleghaghtuq ‘it seeped or flowed out’ (from aane- ‘to go out’);  siingleghaghaa ‘he pushed it continuously, planed it (wood)’ (from siinge- ‘to push’); tel from this postbase becomes ll: uuglleghaghtut’ they came up something one after another’ (from uugte- ‘to get up onto something’)	continously and slowly V												to V slowly and continuously						@~f+leghagh-	leghagh	leghagh	-лыӷаӷ-
–lek	-ksr	with (one ~ N)		angyalek ‘boat owner or captain’ (from angyaq ‘boat’); qikmilek ‘one with dogs’ (from qikmiq ‘dog’); umyugalek ‘sensible person’ (from umyugaq ‘mind’); the following are lexicalized: yaqulek ‘angel’ (from yaquq ‘wing’); ilumilek ‘pregnant female’ (from ilumik ‘one “held” inside’); imalek ‘filled thing, pregnant female’ (from imaq ‘content’); aqsalek ‘pregnant female’ (from aqsa ‘belly’); iyegaatelek ‘spectacled eider’ (from iyegaate(k) ‘eyeglass(es)’); kenulek ‘three-edged skin sewing needle’ (from kenuk ‘ridge, edge’); nasaperalek ‘bird type’ (from nasaperaq ‘cap’); elqiilek ‘bird type’ (from elqiiq ‘visor’); qengalek ‘king eider’ (from qengaq ‘nose’); aghvinlek ‘six’ (from aghvigh- ‘to cross over’ and intervening postbase -neq ‘act of V-ing’); ayaviilek ‘long-legged spider’ (from ayaviiq ‘walking stick’); puugzaq tugutelek ‘narwhal’ (from puugzaq ‘beluga’ and tugun ‘tusk’); often occurs as the “verb” in a sentence without an actual verb: Iimnanguq. Yugnguq nuliilek, ighnelek ama ighnegha nuliilek. ‘[It was] back then, it is said. [This certain] man, it is said, had a wife, he had a son, and his son had a wife.’ (from nuliiq ‘wife’, and ighneq ‘son’) (UNGAZ. UNGIP. 47)	having (one ~ N)	one having N											one having N; one with N		pb PE l0!				–lek	lek	lek	-лык
@lghaa-	-k46-	command former		forms commands, requests, etc. directed toward the future; takes intransitive participial endings and yields forms having a future optative meaning; this form is used with vowel-ending bases, changing tel to ll (inserting e afterwords as necessary); tagilghaaten ‘(you) come here (in the future)’(from tagi- ‘to come here’); neghelghaakut ‘let's eat (future)’, neghelghaaq ‘he may eat (future)’ (from negh<e>- ‘to eat’); neghenghillghaakut ‘let's not eat (future)’ (from neghenghite- ‘to not eat’); laalighlleghaaten ‘(you) visit (future)’ (from laalighte-); with first person singular aa becomes ii: aanelghiinga ‘I should go out (future)’ (from aane- ‘to go out’); for consonant-ending bases the postbase  -ggaa-/-ghhaa- (q.v.) is used instead; for transitives postbase -na-1 (q.v.) is used instead	request former												command or request former						@lghaa-	lgha	lghx	-лӷā-
–lghaq	-k4f2	holder for N		non-productive; nanilghaq ‘lamp stand’ (from naniq ‘lamp’); angyalghat ‘boat rack’ (from angyaq ‘boat’); kuvesilghaq ‘dumping ground’ (from kuve- root for kuuve- ‘to spill, pour’, and unidentified postbase); llivelghaq ‘shelf’ (from lliveq ‘grave’ (!?)); kaasilghaq ‘mortar’ (from a base or root kaasi- also occuring in kaasitaq ‘pestle’)													holder for N						–lghaq	lghaq	lghaq	-лӷақ
@–lghii	-k47	one that V-ed		drops te with lgh then becoming voiceless and e inserted as needed to break unpermitted clusters; rarely takes possessed ending; qiyalghii ‘the one that cried’ (from qiya- ‘to cry’); kaallghii ‘the one that arrived’ (from kaate- ‘to arrive’); laalighlleghhii ‘the one that visited’ (from laalighte- ‘to visit’); qavalghiit ‘the ones that slept’ (from qavagh- ‘to sleep’); also constitutes the marker of a certain (participial) verb mood taking only intransitive endings and having a past time implication; neghelghii ‘he ate’ (as well as meaning ‘the one that ate’), neghelghiinga ‘I ate’ (from negh<e>- ‘to eat’); for bases ending in negative te, @nguq (q.v.) is used instead													the one that V-ed		pb PY-S l3i(C)a(q)				@–lghii	lghi	lghx	-лӷӣ
–lghun	-k4ey	lots of N		takes singular endings even for a plurality of things; ukazilghun ‘lots of hares’ (from ukaziq ‘hare’); manilghun ‘a group of eggs as in a nest’; Ayumighnguq taghnughhalghun tuqulaghaatkaaftuq iiwhlagmi ulefqaghulluki. ‘Long ago, they say, a number of children all died when during a very low tide [which allowed, or lured, them to go to far out in the sea] it [the water] then flooded over them.’ (from taghnughhaq ‘child’) (SIVUQ. NANGAGH. 2:236)	number (a ~ of N)	several N								group (a ~ of N)			lots of N; a number of N; several N; a group of N		pb PY-S l3utaq				–lghun	lghun	lghun	-лӷун
–lghutaq	-k4enf2	place for N		manilghutaq ‘wallet; bank’ (from mani ‘money’); mangtalghutaq ‘place to store whale skin’ (from mangtak ‘whale skin’); igaasilghutaq ‘pencil box’ (from igaasiq ‘pencil’; aghalghutaq ‘medicine bottle’ (from agha ‘medicine’); neqelghutaq ‘cache’ (from neqae ‘food’); uqulghutaq ‘oil or gas tank’ (from uquq ‘oil’); salghutaq ‘pantry, storage area’ (from sa ‘thing’); sakwaalghutaq ‘trash container’ (from sakwaaq ‘trash’); melghutaq ‘water container’ (from meq ‘water’); igalghutaq ‘briefcase, filing cabinet’ (from igaq ‘paper for or with writing’); mangtalghutaq ‘vessel for storing edible whale skin’ (from mangtak ‘edible whale skin’); mesiilghutaq ‘vessel for melted fat’ (from mesiiq ‘melted fat’); mallalghutaq ‘dustbin’ (from mallaq ‘dust’); manilghutaq ‘coin purse, bank’ (from mani ‘money’); sikulghutaq ‘needle case’ (from sikuq ‘needle’); kaalghutaq ‘cow-shed, barn’ (Chukotkan) (from kaakw ‘cow’); taghnughhalghutaq ‘womb’ (Chukotkan) (from taghnughhaq ‘child’)	container for N												place for N; container for N		pb PY-S l3utaq				–lghutaq	lghutaq	lghutaq	-лӷутақ
–lgigh-	-kub4-	travel using N		qikmilgightuq ‘he went with dogs’ (from qikmiq ‘dog’); angyalgightuq ‘he went by boat’ (from angyaq ‘boat’)													to travel using N		pb PE l!i3				–lgigh-	lgigh	lgigh	-лгиӷ-
–lgu-	-kue-	have N		mangteghaghrugllalguuq ‘he has a big house’ (from mangteghaghrugllak ‘big house’); avaqutalguunga ‘I have a son, or sons’ (from avaqutaq ‘son’); qafsinaneng panilguzin? ‘how many daughters do you have?’ (from panik ‘daughter’)	possess N												to have an N or have N-s; to possess N		< -lek-(ng)u-; pb PY l!u-				–lgu-	lgu	lgu	-лгу-
–lgun	-kuey	one with the same N		takes possessed or non-singular unpossessed endings; nunalgutnga ‘his fellow villager’ (from nuna ‘village’); nelgutek ‘roommates2’ (from nae ‘home’)	same (one with the ~ N)												one with the same N		pb PY-S l!un				–lgun	lgun	lgun	-лгун
–lgusigh-	-kuecb4-	with (V together ~)		qiyalgusighaa ‘he shared her grief’ (from qiya- ‘to cry’)    	help (object) V												to V together with; to help (object) V		< -lgun-ligh-				–lgusigh-	lgusigh	lgusigh	-лгусиӷ-
–lgute-	-kuens-	with (V together ~)		Taagken kenlanga qatelghiim unisimakanga meteghlluk alla kiyaghtelgutesaghqaagpenaan. ‘Thereupon the fox left the raven, never to live with it again.’ (from kiyaghte- ‘to live’) (UNGIPAGHAGH. 130)	help (object) V												to V together with; to help (object) V		< -lgun				–lgute-	lgute	lgute	-лгуты-
–lgutke-	-kuenrs-	with (V together ~)		epghalgutkaa ‘he worked with her’ (from qepghagh- ‘to work’)	help (object) V												to V together with; to help (object) V		< -lgun-ke-1				–lgutke-	lgutke	lgutke	-лгуткы-
–li-	-kb-	make N		non-productive; neliiq ‘he made a home’, nelii ‘he made a home for her, or from it’ (from nae ‘home’); often shortened to ––i-2 (q.v.)													to make N		pb PE li-1				–li-	li	li	-ли-
-li-				see ?(gh/l)i-													become V						?(gh/l)i-	li	li	
–ligh-	-kb4-	provide with N		pagunghalighaa ‘he put berries in it’ (from pagunghaq ‘berry’); sikulighaa ‘he installed a needle in it’ (from sikuq ‘needle’); aghalighaa ‘he gave her medicine’ (from agha ‘medicine’); ghhuulighaa ‘he loaded it (a gun)’ (from ghhuuq ‘bullet’); ilalighaa ‘he added something to it’ (from ila ‘part’); neqlighaa ‘he poisoned it’ (from neqae ‘food’); qayelighaa ‘he covered it’ (from qayae ‘surface’); usilighaa ‘he loaded it’ (from usi ‘load’); atelighaa ‘he named him’ (from ateq ‘name’); kenelighaa ‘he shined a light on it, put a light in it’ (from keneq ‘fire, light’); may be shortened to ––igh- (q.v.) 	put N in												to provide with N; to put N in						–ligh-	ligh	ligh	-лиӷ-
–liigh-	-k74-	fix N		aghveliightuq ‘he was cooking whale’ (from aghveq ‘whale’); angyaliightuq ‘he was making a boat’ (from angyaq ‘boat’); 1914-mi mangteghiighyuwhaallghitni legan kiigani. ‘In 1914 the first houses were built there.’ (from mangteghaq ‘house’, shortened from mangteghaliigh…) (SIVUQ. NANGAGH. 2:56); may be shortened to ––iigh- (q.v.)	make N	prepare N								cook N			to fix N; to make N; to prepare N; to cook N				PE -li(C)u3-		–liigh-	ligh	lxgh	-лӣӷ-
?lighneq	-kb4ys2	part (N ~ (of possessor))		ilulighneghani ‘in the inside part of it’ (from ilu ‘inside’); qulighneq ‘upper part’; awalighneq ‘other side’ (from awa(ni) ‘over there’); uvilighneq ‘neighbor, relative’ (lexicalized, from root uvi-, as in uvin ‘yard around house, kinfolk, area, surface’, and uvinek ‘human skin, close relative’); kelulighneq ‘area seen from the sea’ (from kelu ‘area back from shore’)													N part (of possessor)		< -ligh-neq2; PY-S li3neq				?lighneq	lighneq	lighneq	-лиӷнық
?lighpigaq	-kb5gbuf2	very N-most one		used with positionals, some demonstrative adverb bases, and the like; kingulighpigaq ‘the very last one’ (from kingu ‘behind, back’); kiwalighpigaq ‘the very southernmost area’ (from kiwa(ni) ‘in the south’)													very N-most one		< -liq-pigaq				?lighpigaq	lighpigaq	lighpigaq	-лиҳпигақ
–linghaq*	-kby4f2	thing of N		yulinghaq ‘foreign-made thing; now, factory-made thing, formerly, Chukotkan thing’ (lexicalized, from yu<u>k ‘person’); tungtulinghaq ‘piece of caribou fur’ (from tungtu ‘caribou’)													thing of N		pb PY lin3aq				–linghaq*	linghaq	linghaq	-линӷақ
–lipag-	-kbgfu-	put in too much N		taghyulipagaa ‘he put too much salt in it’ (from taghyuq ‘salt’)	too much N (put in ~ N)								more examples needed				to put in too much N		< -ligh-pag-				–lipag-	lipag	lipag	-липаг-
?liq	-kb2	one that is N		used with positionals, some demonstrative adverb bases, and the like; sivuliq ‘first one’ (from sivu ‘area in front’); iluliq ‘inner one’ (from ilu ‘area inside’); tuungliq ‘next one’ (from tungae ‘area toward’); kinguliq ‘descendent’ (lexicalized, from kingu ‘time or place after’); paasliq ‘cuff of sleeve’ (lexicalized, from payae ‘opening’); also Ayuqliq ‘mainland Alaskan Eskimo’ (lexicalized, from ayuqe- ‘to be similar’); ketliq ‘one near exit or toward the south’ (from ketae ‘area in front, toward water’)													one that is N		pb PE l(l)i3				?liq	liq	liq	-лиқ
