CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
ineghte-	иныҳты-	bys5ns-	to admonish; to warn; to alert; to forbid; to tell not to do something	admonish	warn	tell not to do something	forbid	ineghtaa ‘he forbade her’ / iinghutaa ‘he warned about it’; ineghneghlluk ‘one who is hard to discipline’				PE in03-			ineghte-	ineghte-
inegmig-	иныгмиг-	bysuvbu-	to put under one's arm or between one's leg; to put in pocket	put under one's arm or between one's leg	put in pocket	arm (put under one’s ~)	pocket (put in ~)					< inek-mig-			inegmig-	inegmig-
inegniigh-	иныгнӣӷ-	bysuy74-	to put hand into pocket	put hand into pocket				Chukotkan (R)	ceyenm here d rfhvfy		looks plausible though inek is armpit or groin, but check	< inek-niigh-	Rub. 168		inegnigh-	inegnxgh-
inegrewaaq	иныгрыӱāқ	bysuhs162	middle of armpit or groin	armpit (middle of ~)	groin (middle of ~)							< inek-?-(ghw/ngw/w)aaq			inegrewaq	inegrewxq
inek	инык	bysr	groin; armpit; bend in body or land similar to armpit or groin	groin	armpit or groin-like bend in body or land			iin’ga ‘his groin’ or ‘its (the montain’s) base area’				PY-S in0k			inek	inek
inekiitek	иныкӣтык	bysr7nsr	well maybe, as a matter of fact; if I do something; if perchance	if perchance	well maybe, as a matter of fact	if I do something		particle; = enekiitek				from Chukchi 0n0kit ‘if’			inekitek	inekxtek
ineligh-	инылиӷакā	byskb4fr6	to sew on a pocket	sew on a pocket	pocket (sew on a ~)			Chukotkan (R)	ghbibdfnm rfhvfy		cf. inegniigh- which Rub. glosses as ‘to put hand in pocket’; suggests that ‘pocket’ is a newer meaning for inek ‘groin’ -- check		Rub. 169		ineligh-	ineligh-
ineqe-	инықы-	bys2s-						root; > ineqsuke-, ineqsunagh-, iinqe-							ineqe-	ineqe-
ineqerewaaq	инықырыӱāқ	bys2shs162	armpit (specifically)	armpit (specifically)								< inek-?-(ghw/ngw/w)aaq			ineqerewaq	ineqerewxq
ineqsuke-	инықсюкы-	bys2c/rs-	to find attractive or cute (especially a baby)	find attractive or cute	attractive (find ~)	cute (find ~)		ineqsukaa ‘he finds him cute, attractive’ /				PE in0q0-; < ineqe-yu-ke2-			ineqsuke-	ineqsuke-
ineqsunagh-	инықсюнаӷ-	bys2c/yf4-	to be attractive (especially of a female); to be pretty	attractive ( ~ (especially of a female))	pretty (be ~)			ineqsunaghtuq ‘she is attractive, pretty’ /				PE in0qyuna3- (under PE in0q0-); < ineqe-yu-nagh-			ineqsunagh-	ineqsunagh-
ineqsunaghhalek	инықсюнаҳалык	bys2c/yf5fksr	how cute!; how pretty!; how attractive!’; how beautiful!	attractive (how ~!)	pretty (how ~!)	cute (how ~!)	beautiful (how ~!)	particle				< ineqsunagh-ghhalek			ineqsunaghhalek	ineqsunaghhalek
ingagh-	иңаӷ-	b3f4-	lying down	lying down				postural root; ingaghtuq ‘he lay down’; ingaghtaa ‘he lay it down’; ingaghngaaq ‘he is lying down’; ingaghmi ‘lieing down’				PE i&&a3-			ingagh-	ingagh-
Ingaghpak	Иңаҳпак	B3f5gfr	site on the mainland side of Chechekuyem Strait in Chukotka	Chechekuyem Strait in Chukotka (site on the mainland side of ~)				see Map 3 in Appendices					CK		Ingaghpak	Ingaghpak
Ingaliq1	Иңалиқ1	B3fkb2¡	Little Diomede Island	Little Diomede Island	Diomede (Little ~ Island)			see Map 6 in Appendices; Ingalighmii ‘person from Little Diomede’							Ingaliq1	Ingaliq1
Ingaliq2	Иңалиқ2	B3fkb2™	southwesternmost of the Punuk Islands off the east coast of St. Lawrence Is.	Punuk Islands off the east coast of St. Lawrence Is. (southwesternmost of the ~)				see Map 6 in Appendices							Ingaliq2	Ingaliq2
ingan, ingata	иңан, иңата	b3fy. b3fnf	side area of the traditional dome-shaped house, the mangteghapik (q.v.)	side area of the traditional dome-shaped house						ingatngiiritaq		< iga(ni)-te¢-			ingan, ingata	ingan, ingata
ingani	иңани	b3fyb	over there	there (over ~)	over there			look under iigna							ingani	ingani
ingapighqaagh-	иңапиҳқāӷ-	b3fgb5264-	to move over a little; to postpone	move over a little	postpone			ingapighqaaghtuq ‘he moved over’; ingapighqaaghaa ‘he moved it, postponed it’ /cf. ingani							ingapighqagh-	ingapighqxgh-
ingatngiiritaq	иңатңӣритақ	b3fn37hbnf2	wall plank of or support for side area of traditional dwelling	wall plank of or support for side area of traditional dwelling								< ingan-?			ingatngiritaq	ingatngxritaq
ingek	иңык	b3sr	ink	ink				iingka ‘my ink’				from English ‘ink’		SLI	ingek	ingek
Iingghilukaq	Ӣңӷилюкақ	&34bk/rf2	site in Chukotka, on Ittygran Island	Ittygran Island (site in Chukotka on ~)				see Map 3 in Appendices				PE i&3i3	Men. 1972, 1975		ingghilukaq	xngghilukaq
inghu-	инӷу-	by4e-	to pick berries; to pick up small berry-like items (beads, marbles, etc.)	pick berries	berries (pick ~)	pick up small berry-like items (beads, marbles, etc.)		inghuuq ‘he picked berries’; inghwii ‘he picked them’ / inghutaa ‘he picked berries for her’; inghuvik ‘berry-picking spot on the tundra’				PE a!an3u(Ca3)			inghu-	inghu-
iinghusalek	ӣнӷусялык	7y4eczksr	rule to ensure safety	rule to ensure safety				Iinghusalguftuq wataghllak iiwhlanghani taan’gavek ateghyaqunaki pisqellelek, ulefqaghtekayuguniluku sukatepiglluni. ‘There was a rule never to go down there when the tide was very low as then the tide came in it would come in very fast.’ (SIVUQ. NANGAGH. 2:236); Emta iinghusalek, uglaneghmiininguq nenga ughumakayuguniluku piiqaat enkaam kelengasaalluni ayuquq. ‘There was a hunting rule about them too because when there were lots of them together, the ice on which they had been roosting would thaw and get thin.’ (SIVUQ. NANGAGH. 1:134)				< ineghte-(u)saq-lek			inghusalek	xnghusalek
iinghute-	ӣнӷуты-	7y4ens-	to warn	warn				iinghutaa ‘he warned him’ /				< inegh-(u)te-			inghute-	xnghute-
iingkut	ӣңкут	73ren	those over there	over there (those ~)				look under iigna							ingkut	xngkut
inglaghet	иңляӷыт	b3kz4sn	a certain ceremonial competion	ceremonial competion	competition, ceremonial			Chukotkan (R); two groups face each other, one on the north side and the other on the south side of the dwelling; the competition begins with singing and dancing; the winning team recieves an award					CK Rub 172		inglaghet	inglaghet
ingleghan	иңлыӷан	b3ks4fy	breeding ground on ice for sea mammals	breeding ground on ice for sea mammals				Chukotkan (R)				< ingleq-?	CK Rub 171		ingleghan	ingleghan
ingleghaq	иңлыӷақ	b3ks4f2	sled bed slat	sled bed slat	slat of sled bed							< ingleq-ghaq			ingleghaq	ingleghaq
ingleghem imaa	иңлыӷым имā	b3ks4sv bv6	family 	family				Chukotkan (R); literally ‘the contents of the living/sleeping area’	ctvmz. ctvtqcndj		check this nice idiom	< ingleq-relative + imaq-possessed	Rub. 171		ingleghem ima	ingleghem imx
Ingleghnaghmii(t) 	Иңлыӷнаӷмӣ(т)	B3ks4yf4v7ønπ	a particular clan	clan (a particular ~)						xxxt		< Ingleghnaq-mii			Ingleghnaghmi(t) 	Ingleghnaghmx(t) 
Ingleghnaq	Иңлыӷнақ	B3ks4yf2	former village east of Cape Sivolkut in Chukotka 	Sivokut (former village east of Cape ~ in Chukotka)				see Map 3 in Appendices				< ingleq-naq			Ingleghnaq	Ingleghnaq
Ingleghrengestat	Ӣңлыӷрыңыстат	&3ks4hs3scnfn	site near Powooliak	Powooliak (site near ~)				see Map 4 in Applendices							Ingleghrengestat	Ingleghrengestat
ingleghtaq	иңлыҳтақ	b3ks5nf2	crosspiece fastening together foundation poles (emgaari) around the periphery of the traditional dome-shaped house, the mangteghapik (q.v.)	crosspiece in roof of the traditional dome-shaped house							see Parts of Traditional House in Appendix	< ingleq-taq1			ingleghtaq	ingleghtaq
inglek	иңлык	b3ksr	anchor for a snare	anchor for a snare				Chukotkan (R)					CK Rub 171		inglek	inglek
ingleq	иңлық	b3ks2	living/sleeping area in the traditional dome-shaped house, the mangteghapik (q.v.), or in a tent or shack	living/sleeping area in the traditional dome-shaped house, or in a tent or shack	sleeping area in the traditional dome-shaped house, or in a tent or shack			also used in the plural, ingleghet, for one such area			; see Parts of Traditional House in Appendix	PE i&l03			ingleq	ingleq
ingliigh-	иңлӣӷ-	b3k74-	to lay out bedding	lay out bedding				yugem sleeping bag-ni tuguluku ingliighluni ingaghlluni qavaamalghii ‘the man took his sleeping bag, laid (it) out for bedding, went to bed and slept’				< ingleq-liigh-			ingligh-	inglxgh-
ingllegun	иңльыгун	b3k]suey	household member; roommae	household member	roommate			ingllegutkullghiini qerngaghmetukut ‘we are together with our household members’; ingllegutanga igaghyaghaquq ‘her roommate goes to school’					CK A & W 29 		ingllegun	ingllegun
ingllevagh-	иңльываӷ-	b3k]sdf4-	to move sideways	move sideways	sideways (move ~)			siqinghem piitellgha ingllevaghtuq ‘where the sun rises moved further to the side’					CK A & W 30		ingllevagh-	ingllevagh-
ingllevaq	иңльывақ	b3k]sdf2	area farther to the side	area farther to the side				ingllevaq aagna aqavzigtuuq ‘the area farther to that side has lots of salmonberries’					VK		ingllevaq	ingllevaq
inglu	иңлю	b3k/	partner; one of pair; spouse; complementary side; half	partner	spouse	one of pair	complementary side	iiyma inglunga ‘my other eye’; inglungituq ‘he doesn't have a partner’; inglukaa ‘he is her partner’				PE i&lu			inglu	inglu
iinglu	ӣңлю	73k/	neighboring semi-subterranian house	semi-subterranian house, neighboring				Chukotkan (V&E)	cjctlyzz ptvkzyrf			this may be a blend of PE i&lu ‘complement, other of pair’, and PE 0&lu ‘semi-subterranian house’	CK V & E 81		inglu	xnglu
inglugtun	иңлюхтун	b3k/[ney	with both sides; with both arms	with both arms or sides	both (with ~ arms or sides)			particle				< inglu-equalis			inglugtun	inglugtun
inglukutaq	иңлюкутақ	b3k/renf2	wooden hook used to retrieve a fishing line from the water in order to clean off the ice from it	wooden hook used to retrieve a fishing line from the water in order to clean off the ice from it								< inglu-qutaq	CK Rub 171		inglukutaq	inglukutaq
inglupigaq	иңлюпигақ	b3k/gbuf2	one side only	one side only								< inglu-pik			inglupigaq	inglupigaq
ingluziq	иңлюзиқ	b3k/pb2	exchange wife	exchange wife	wife (exchange ~)			Chukotkan (R)				< inglu-?-			ingluziq	ingluziq
iingqaghyagh-	ӣңқаӷьяӷ-	732f4mz4-	to catch by hooking	catch by hooking	hooking (catch by ~)							< iingqaq-?-			ingqaghyagh-	xngqaghyagh-
iingqaq*	ӣңқақ	732f2	gum (anatomical)	gum (anatomical)				iingqaghten ‘your gums’				PE i&ki3			ingqaq*	xngqaq*
iingqighte-	ӣңқиҳты-	732b5ns-	to stab through a sea mammal’s eye to kill it 	stab through a sea mammal’s eye to kill it 				suvlugiilluku ayumiq ilangi teghikusam tawaten iingqighlluki tuqutaqegkangit ‘without (using) a gun on it, in the past they would kill some sea mammal like that by stabbing them through the eye’; neghsaq iingqighlluku tuqusimaa ‘he killed the seal by stabbing it through the eye’			check, explained as: ayumiq iiskun kaapluki tuqutelleq, which VK translates pretty much as here	< iingqaq-?- (?)	A&W 27		ingqighte-	xngqighte-
iingqiq	ӣңқиқ	732b2	louse nit	louse nit	nit of louse							PE i&qi3			ingqiq	xngqiq
ingtaghan	иңтаӷан	b3nf4fy	brace or spreader used between keel and gunwale in building skin boat frame	brace or spreader used between keel and gunwale in building skin boat frame											ingtaghan	ingtaghan
iingtaq	ӣңтақ	73nf2	moulted goose	moulted goose	goose, moulted			iingtaghyaghtuq ‘he went hunting for moulted geese’				< iingte-aq			ingtaq	xngtaq
iingte-	ӣңты-	73ns-	to moulted	moult				iingtuq ‘it moulted’ /				PY i&t0-			ingte-	xngte-
ingum	иңум	b3ev	of the one over there; that over there (relative case)	over there (of the one ~)	that over there (relative case)			look under iigna							ingum	ingum
ingun, inguta	иңун, иңута	b3ey. b3enf	boat seat; thwart	boat seat	seat in boat	thwart						PE i&un (under PE i&0t-)			ingun, inguta	ingun, inguta
iingunagh-	ӣңунаӷ-	73eyf4-	whole; all; every	whole	all	every		used in the quantifier/qualifier construction;  iingunaan neghaqa ‘I ate it all’; iingunaghmelnguq ‘the whole thing’; igleghtut iingunaghmeng ‘they all traveled’; ingunaghhaghmi kaatuq ‘every single one of them arrived’; Aghneq iingunaan qepghanemni, qenwat meghnughaqunga. ‘Every day when I work I am tired.’ (UNGAZ. UNGIP. 68)			can one say iingunaghmi, iingunaghmeng etc.?				ingunagh-	xngunagh-
inguqaq	иңуқақ	b3e2f2	captain's seat	captain's seat	seat, captain’s			cf. ingun							inguqaq	inguqaq
ingutuq	иңутуқ	b3ene2	yearling bowhead whale (Balaena mysticetus)	bowhead whale yearling	whale, bowhead yearling	yearling bowhead whale	Balaena mysticetus					PE i&uta3			ingutuq	ingutuq
ingyagh-, ingyaghaghte-	иңьяӷ-, иңьяӷаҳты-	b3mz4-. b3mz4f5ns-	to do something ahead of another; to pass; to go ahead of; to surpass	do something ahead of another	pass	go ahead of	surpass	inghyaghaa or ingyaghaghtaa ‘he got ahead of him’ / kilgaaqulghiini mekelghiighem sivulini ingyaghaa ‘in the foot-race the boy gained and and passed the one who was in front of him’; uyughaan anengani ingyaghaa ‘the younger brother caught up with and surpassed his older brother in height’; aghnam angyameng kakillghiini ilani ingyaghaghtii ‘the woman finished sewing her part before the others when they sewed the skin-boat covering’	jgtht;fnm			PE i&ya3-	CK V & E 137 (Russ Voc)		ingyagh-	ingyagh-
ini-	ини-	byb-	to hang to dry	hang to dry				inii ‘he hung it or them up’ / iniiguq ‘he hung something’; iniighet ‘clothes that have been hung to dry’				PE ini-			ini-	ini-
inilleq	инильық	bybk]s2	frame for drying skins	frame for drying skins				Chukotkan (V&E)	hfvf lkz  ceirb ireh				CK V & E 92		inilleq	inilleq
inillghaataq	инильҳāтақ	bybk]56nf2	clothesline	clothesline								< ini-?-(u)taq			inillghataq	inillghxtaq
iniiragh-	инӣраӷ-	by7hf4-	to dry meat in strips to dry inside the house	dry meat in strips to dry inside the house				iniiraghtuq ‘he hung strips of meat to dry’; iniiraghaa ‘he hung it up to dry’ /				< ini-?-			iniragh-	inxragh-
iniiraq	инӣрақ	by7hf2	small strip of dried meat	meat (small strip of dried ~)								< ini-?-			iniraq	inxraq
inpite-	инпиты-	bygbns-	to distribute or receive a piece or pieces of a catch during butchering	distribute piece(s) of a catch during butchering	piece(s) (distribute or receive ~ of a catch during butchering)	receive piece(s) of a catch during butchering		inpituq ‘he received a piece’; inpitaa ‘he gave him a piece’ / = impite-							inpite-	inpite-
iinqe-	ӣнқы-	7y2s-	to coo to a child; to say the customary made-up words, nonsense phrases, etc., used for that particular child to that child	coo to a child	say the customary made-up words, nonsense phrases, etc., used for that particular child to that child			iinqaa ‘he cooed to him’ / iinqiiq ‘he cooed to someone’; iinqelluku iqengestaa ‘by cooing to him she made him smile’		iinqun		PE in0q0-			inqe-	xnqe-
inqun	инқун	by2ey	just because; in order to; of course	just because	in order to	of course		particle				from Chukchi i&qun ‘in order to’			inqun	inqun
iinqisiq	ӣнқисиқ	7y2bcb2	the customary made-up words spoken to a particular child; cooing words or song	customary made-up words spoken to a particular child	cooing words or song			= iinqun				< iinqe-i1-(u)siq			inqun	xnqun
iinqun	ӣнқун	7y2ey	the customary made-up words spoken to a particular child; cooing words or song	customary made-up words spoken to a particular child	cooing words or song			= iinqisiq				< iinqe-(u)n			inqun	xnqun
insenae	инсынаы	bycsyfs	engine; motor	engine 	motor			also used in Chukotka; used in the dual, insenek, for one engine or motor	vjnjh			from English ‘engine’	 (V&E85, R168)	SLI Chuk.	insenae	insenae
inseniya	инсыния	bycsybz	engineer	engineer				also used in Chukotka				from English ‘engineer’	Rub. 168; SLI Cur. Res. Man. 159	SLI Chuk.	inseniya	inseniya
Iintiyaghmii	Ӣнтияӷмӣ	&ynbz4v7	American Indian	American Indian	Indian (American ~)							from English ‘Indian’ with Yupik postbase -mii		SLI	Intiyaghmi	Xntiyaghmx
inukagh-	инукаӷ-	byerf4-	to suddenly change one’s mind and withdraw from an activity or not repeat an action	suddenly change one’s mind and withdraw from an activity or not repeat an action				inukaghluni allallu piyaghqaagpenani pikaaguq ‘he suddenly changed his mind and will never to do it again’; ilakutekestaghngaaghmek inukaasimaak ‘they2 were  friends, but suddenly they changed their minds (about each other)’ 					CK A & W 30		inukagh-	inukagh-
Invet	Инвыт	Bydsn	Invut Mtn. on St. Lawrence Is.	Invut Mtn. on St. Lawrence Is.				see Map 5 in Appendices							Invet	Invet
inwa, inwallu	инӱа, инӱалью	by1f. by1fk]/	not even; without even	not even	without even			particle; Whangkuta katam quyngilegni, iwerngaqun nasiqutestaqiinkut piyukellemtestun inwa tukfighluku. ‘Those of us who owned reindeer could get as much as we wanted not even having to pay for of it.’ (SIVUQ. NANGAGH. 2:84)				from Chukchi ?		x	inwa, inwallu	inwa, inwallu
inwaamllu	инӱāмлью	by16vk]/	not even; without even	not even	without even							< inwa=?=llu		x	inwamllu	inwxmllu
iinwaaq	ӣнӱāқ	7y162	foothill; hillock	foothill	hillock			iinwaaghmun kaviiq mayughaghsan guutaa ‘when the fox went up the hillock he shot it’; iinwaaghmeng estumalghii ‘he slid down the little hill’			check, but looks okay	< inek-(ghw/ngw/w)aaq	A&W 27		inwaq	xnwxq
ipa	ипа	bgf	the truth; in truth; in fact	truth	in truth, in fact			ipanguuq ‘it is true’; also a particle: Pilugugluni aatkallegaghhani taakut aghyughllakat iqisaqminiki pinilghiimeng aalluni, nuyani pinighsaghwaaghyaqminigu, aghnaaftughnguq ipa.     'After he got dressed, when he took off his old worn out clothes and put on good clothing, when he fixed his hair, well, "he" evidentally was a female in fact!' (AYUM. UNGIP. II:7)				from Chukchi ipe ‘actually’			ipa	ipa
ipallu	ипалью	bgfk]/	unexpectedly; out of the ordinary	unexpectedly	ordinary (out of the ~)			particle; ipallu qaspighqelluku taghnughhani aqlaghangilngughmi aanutaa ‘she dressed her baby more than would be expected on the warm day and took her outside’				< ipa=llu	VK (example)		ipallu	ipallu
ipapestaaq	ипапыстāқ	bgfgscn62	of course; certainly; truthfully	of course	certainly	truthfully		particle				< ipa-?-			ipapestaq	ipapestxq
ipapiighqe-	ипапӣҳқы-	bgfg752s-	to come to pass; to become reality	come to pass	become reality			Entaqun ataasiighneghunaqeghllaget ipapiighqengnganaqeghllaget samun tamaghhaanun. ‘Probably they endeavored to be direct and forthright in regard to everything.’ (SIVUQ. NANGAGH. 3:86)				< ipapik-ughqe-			ipapighqe-; ipapighqe-	ipapxghqe-; ipapighqe-
ipapik	ипапик	bgfgbr	correctness; truth; reality; indeed; really; truthfully	correctness	truth or truthfully	reality or really	indeed	ipapigestun ‘like reality’; ipapiglluggaghestun ‘as if it were real’; also functions as aparticle: "Ukamangaatnguzin?" "Ipapik."  ‘“Are you Ukamangaan?” “Indeed (I am).” (UNGIPAGHAGH. 5); Angyalegtam aapsimakanga, "Ipapiik?" Kaanghum pimakanga, "Ipapik." ‘The captain asked him, “Really?” Kaanghu answered, “Really.” (UNGAZ. UNGIP. 42); Iwernga elpek alingumangilnguten, ipapik  iknaquten. “However you weren’t scared, for indeed you are strong.” (AANGHHAQ 38)				< ipa-pik			ipapik	ipapik
ipeg-	ипыг-	bgsu-	to be sharp	sharp (be ~)				ipegtuq ‘it is sharp’ / ipegrakegtaq ‘a very sharp or very pointed thing’				PE ip0!-			ipeg-	ipeg-
ipegriqe-	ипыгриқы-	bgsuhb2s-	to be persistent	persistent (be ~)				ipegriquq ‘he is being persistent’ /				< ipeg-?-			ipegriqe-	ipegriqe-
ipegsagh-	ипыхсяӷ-	bgs[cz4-	to sharpen; whet	sharpen	whet							< ipeg-sagh-			ipegsagh-	ipegsagh-
ipegsaan	ипыхся̄н	bgs[c9y	whetstone; sharpening stone	whetstone	sharpening stone							< ipegsagh-(u)n			ipegsan	ipegsxn
iipgite-	ӣпхиты-	7g[bns-	to be dull	dull (be ~)				iipgilnguq ‘dull knife, needle, etc.’				PE ip!it- (under ip0!-); < ipeg-(ng)ite-			ipgite-	xpgite-
ipig-	ипиг-	bgbu-						root; > ipigkestaaghhaq, ipigkingwaaq, ipigra-, ipigtu-				PE ipi(!)			ipig-	ipig-
ipigkestaaghhaq	ипихкыстāҳақ	bgb[rscn65f2	one that does not come far up the leg; low boot	low boot	boot, low							< igig-kestaaghhaq			ipigkestaghhaq	ipigkestxghhaq
ipigkingwaaq	ипигкиңӱāқ	bgburb3162	short boot of shaved sealskin	boot, short, of shaved sealskin								< ipig-?-(ghw/ngw/w)aaq			ipigkingwaq	ipigkingwxq
ipigra-	ипигра-	bgbuhf-	to be kicking about; to be thrashing around with the feet	kicking about (be ~)	thrashing around with the feet (be ~)			ipigramaluku meghmi kaalluku tugwaat ‘he was thrashing around in the water when they rescued him’;  taghnughhaq ipigrangakun uyamigluku aanutaa ‘he took the child out on his shoulders when he was thrashing and kicking around’					CK A & W 30 		ipigra-	ipigra-
ipigtu-	ипихту-	bgb[ne-	to come high up the leg (of boots, socks, etc.)	high (come ~ up the leg (of boots, socks, etc.)								< ipig-tu-			ipigtu-	ipigtu-
iipkegsighwaagh-	ӣпкыхсиӷӱāӷ-	7grs[cb4164-	to tell jokes	jokes (tell ~)	tell jokes			Chukotkan (R)				< ipeg-?-	CK Rub 173		ipkegsighwagh-	xpkegsighwxgh-
iptag-	иптаг-	bgnfu-	to pry; to use a lever on	pry	lever (use ~ on)			iptagaa ‘he pried it up’ / iptagiiq ‘he pried up something’; cf. ipug-							iptag-	iptag-
iptagusiq	иптагусиқ	bgnfuecb2	lever	lever								< iptag-(u)siq			iptagusiq	iptagusiq
ipug-	ипуг-	bgeu-	to pry; to scoop; to pick up with a fork or other sharp object	pry	scoop	pick up with a fork or other sharp object		ipugaa ‘he scooped it, pried it up, lifted it up with a fork’ / ipugutuq ‘he scooped up some’; cf. iptag-							ipug-	ipug-
ipugte-	ипухты-	bge[ns-	to tilt up one's head; to perk up	tilt one's head up	perk up			ipugtuq ‘he lifted his head, he perked up’ / ipugtestaa ‘he lifted her spirits’				< ipug-?-			ipugte-	ipugte-
ipugutaq	ипугутақ	bgeuenf2	fork (for eating or cooking)	fork (for eating or cooking)				may be used in the plural, ipugutat, for one fork				< ipug-(u)taq			ipugutaq	ipugutaq
iqa	иқа	b2f	dirt	dirt				iqatuqaq ‘dirty thing’; iqalguuq ‘it has dirt on it’; iqatuuq ‘it is full of, or covered with, dirt’		; > iqaaghqe-, iqangigh-, iqangite-, iqarwa, iqatu-		PE iqa(3)			iqa	iqa
iqae	иқаы	b2fs	lower cheek; corner of mouth	cheek (lower ~)	corner of mouth)	mouth (corner of ~)		cf. iiqmik				PE iq0(3)			iqae	iqae
iqaaghqe-	иқāҳқы-	b2652s-	to get dirty	get dirty	dirty (get ~)			iqaaghquq ‘he got dirty’; iqaaghqaa ‘he got it dirty’ /				< iqa-?-ghqe£-			iqaghqe-	iqxghqe-
iqaghtaq	иқаҳтақ	b2f5nf2	skin and layer under skin	skin and layer under skin				Chukotkan; qengagka maaqem qenwat asikek iqaghtiighumaak ‘the area under my nose loses its skin from being wiped so often’			used also on SLI?	PE iqa3t0 (?)	Akiingqwaghneghet 114		iqaghtaq	iqaghtaq
iqali-	иқали-	b2fkb-	to get acquainted with a stranger 	acquainted (get ~ with a stranger)				anguughem tagtalngani qenwat  iqalimalghii ‘while stormbound he got acquainted with a stranger’; iqalituk ‘they got acquainted with each other’					CK A & W 30		iqali-	iqali-
iqalliniigh-	иқальинӣӷ-	b2fk]by74-	to fish	fish (i.e., endeavor to catch fish)								< iqalluk-i2-niigh-			iqallinigh-	iqallinxgh-
iqalliniighvik	иқальинӣӷвик	b2fk]by74dbr	fishing camp	fishing camp	camp for fishing							< iqalliniigh-vik			iqallinighvik	iqallinxghvik
iqallugaq	иқальюгақ	b2fk]/uf2	tomcod (Microgadus proximus)	tomcod	Microgadus proximus							PE iqa@u!a3 (under PE iqa@u!); < iqalluk-ghaq			iqallugaq	iqallugaq
iqalluk	иқальюк	b2fk]/r	fish; salmon	fish	salmon							PE iqa@u!			iqalluk	iqalluk
iqallupik	иқальюпик	b2fk]/gbr	dolly varden (Salvelinus malma)	dolly varden	Microgadus proximus							+ PE iqa@upi! ‘dolly varden’ (under PE iqa@u!) (cf. Central up’ik  iqa@uxpik, Naukan Yupik iqa@upik ‘dolly varden’); < iqalluk-pik			iqallupik	iqallupik
Iqalugsik	Иқалюхсик	B2fk/[cbr	Ikalooksik River on St. Lawrence Is.	Ikalooksik River on St. Lawrence Is.				see Map 4 in Appendices							Iqalugsik	Iqalugsik
iqanengenaaq	иқаныңынāқ	b2fys3sy62	arctic staghorn sculpin (Gymnocanthus tricuspis)	sculpin (arctic staghorn ~)	arctic staghorn sculpin	Gymnocanthus tricuspis		cf. iqalluk, iqaniigh-							iqanengenaq	iqanengenxq
iqangigh-	иқаңиӷ-	b2f3b4-	to clean	clean (i.e., remove dirt)				iqangightuq ‘he cleaned himself or cleaned something’; iqangighaa ‘he cleaned it’ /				PE iqa&i3- (under PE iqa(3)); < iqa-(ng)igh-			iqangigh-	iqangigh-
iqangite-	иқаңиты-	b2f3bns-	to be clean	clean (be ~)				iqangituq ‘it is clean’ / iqangunaan ‘leaving it clean’				< iqa-(ng)ite-			iqangite-	iqangite-
iqangwaaq	иқаңӱāқ	b2f3162	slob; slovenly person; dirty person	slob	slovenly person	dirty person		Chukotkan (R)				< iqa-(ghw/ngw/w)aaq	CK Rub 1540		iqangwaq	iqangwxq
iqaniigh-	иқанӣӷ-	b2fy74-	to fish for king crab through the ice	fish for king crab through the ice	crab (fish for king ~ through the ice)			iqaniightuq ‘he fished for king crab’; cf. iqalluk, iqanengenaaq; Iqaniighyaghtunga ataka maliglluku, ataasineng neghnaghtunga. ‘I went crabbing with my father and got one crab.’ (SLI JR. DICT. 117)							iqanigh-	iqanxgh-
iqarwa	иқарӱа	b2fh1f	much dirt; dirty person (children’s term)	dirt (much ~)	dirty person (children’s term)							< iqa-?-			iqarwa	iqarwa
iqaaslaak	иқāслья̄к	b26ck]9r	lamprey (Lampetra japonica)	lamprey	Lampetra japonica								VK, SLI Cur. Res. Man.		iqaslak	iqxslxk
iqatu-	иқату-	b2fne-	to be dirty	dirty (be ~)				iqatuuq ‘it is dirty’				< iqa-tu-			iqatu-	iqatu-
iqe-	иқы-	b2s-						root; > iqelmun, iqeskestaaq, iqetu-, iqetughte-				PE iq0-			iqe-	iqe-
iqeghta	иқыҳта	b2s5nf	hard wood (perhaps birch) used for seal hooks	hard wood (perhaps birch) used for seal hooks	wood (hard ~ (perhaps birch) used for seal hooks)							PE iqa3t0			iqeghta	iqeghta
iqeghtaq	иқыҳтақ	b2s5nf2	color; coloration	color	coloration			iqeghtalguuq ‘it has color’; Atkuyaaghma iqeghtakek ghevuk. ‘The color of my shirt is fading away.’ (SLI JR. DICT. 53); Nallavraghyaghqaqenghitiit tawatengwaaq iqeghtaq ayuqsaghngaan. ‘They (the fawns’ mothers) could tell them apart even if their coloration was the same.’ (SIVUQ. NANGAGH. 2:58)				PE iqa3t0			iqeghtaq	iqeghtaq
iqeghte-	иқыҳты-	b2s5ns-	to tether a dead walrus to shore or boat for butchering	tether a dead walrus to shore or boat for butchering				iqeghtuq ‘he tethered a dead walrus’; iqeghtaa ‘he tethered it’ /							iqeghte-	iqeghte-
